"Occupation";"Total_employment"
"Cargo and Freight Agents";77480
"Physical Therapist Assistants";76910
"Computer Hardware Engineers";76360
"English Language and Literature Teachers, Postsecondary";76320
"Medical, Dental, and Ophthalmic Laboratory Technicians";76220
"Tool and Die Makers";75950
"Airline Pilots, Copilots, and Flight Engineers";75760
"Baggage Porters, Bellhops, and Concierges";75220
"Miscellaneous Media and Communication Workers";74990
"Textile Machine Setters, Operators, and Tenders";74390
"Religious Workers";73470
"Roustabouts, Oil and Gas";73450
"Opticians, Dispensing";73110
"Psychiatric Aides";72860
"Biological Technicians";72640
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic";72520
"Water Transportation Workers";72450
"Carpet, Floor, and Tile Installers and Finishers";71980
"Postal Service Clerks";71910
"Couriers and Messengers";71760
"Civil Engineering Technicians";71300
"Miscellaneous Textile, Apparel, and Furnishings Workers";71090
"Veterinary Assistants and Laboratory Animal Caretakers";71060
"Purchasing Managers";70840
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing";70810
"Brickmasons, Blockmasons, and Stonemasons";70580
"Procurement Clerks";70190
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic";70130
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping";69430
"Credit Analysts";69390
"Aerospace Engineers";69080
"Tax Preparers";68590
"Helpers--Electricians";68280
"Sales Engineers";68080
"Engineering Technicians, Except Drafters, All Other";67640
"Pest Control Workers";67640
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders";67490
"Miscellaneous First-Line Supervisors, Protective Service Workers";67310
"First-Line Supervisors of Protective Service Workers, All Other";67310
"Life, Physical, and Social Science Technicians, All Other";67140
"Office Machine Operators, Except Computer";66530
"Crossing Guards";66310
"Adult Basic and Secondary Education and Literacy Teachers and Instructors";65990
"Electrical and Electronics Repairers, Commercial and Industrial Equipment";65900
"Precision Instrument and Equipment Repairers";65810
"Industrial Engineering Technicians";65680
"Miscellaneous Health Practitioners and Technical Workers";65420
"Occupational Health and Safety Specialists";65130
"Small Engine Mechanics";64860
"Travel Agents";64750
"Chemical Equipment Operators and Tenders";64710
"Psychiatric Technicians";64540
"Education and Library Science Teachers, Postsecondary";64510
"Life Sciences Teachers, Postsecondary";64490
"Mechanical Drafters";64070
"Funeral Service Workers";63770
"Chemical Technicians";63760
"Tax Examiners and Collectors, and Revenue Agents";63640
"Appraisers and Assessors of Real Estate";63220
"Cutting and Slicing Machine Setters, Operators, and Tenders";62570
"Veterinarians";62470
"Service Unit Operators, Oil, Gas, and Mining";62080
"Social Workers, All Other";61410
"Medical Transcriptionists";61210
"Musicians, Singers, and Related Workers";60770
"Audio and Video Equipment Technicians";60200
"Security and Fire Alarm Systems Installers";60160
"Structural Iron and Steel Workers";60010
"Education Teachers, Postsecondary";59980
"First-Line Supervisors of Fire Fighting and Prevention Workers";59870
"Diagnostic Medical Sonographers";59760
"Dietitians and Nutritionists";59490
"Brickmasons and Blockmasons";59340
"Actors";59210
"Miscellaneous Personal Care and Service Workers";59090
