"Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih"
"delovnih mest (originalni podatki) po: MERITVE, SKD DEJAVNOST ,"
"ÈETRTLETJE"

" ";" ";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2"
"Število prostih delovnih mest  - SKUPAJ"
" ";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";408;456;560;522;516;355;449;314;452;427;427;427;427;365;427;391;452;564
" ";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";69;72;60;57;44;46;34;26;59;105;148;192;236;258;226;185;39;105
" ";"P IZOBRAŽEVANJE";224;503;443;164;193;201;667;124;138;167;635;158;125;139;605;202;97;97 M
" ";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";202;194;251;188;210;244;224;141;157;178;190;198;203;210;208;237;163;236
" ";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";22;14;22;26;17;16;19;15;19;23;26;29;33;59;34;33;23;26
" ";"S DRUGE DEJAVNOSTI";18;21;26;18;13;14;17;19;16;17;17;18;19;20;22;25;46;44
"Število zasedenih delovnih mest - (10+)"
" ";"SKD Dejavnost - SKUPAJ (B do S)";555246;558256;556917;556544;550919;553179;548041;541947;519679;523771;524767;523128;518912;526275;528434;528556;546312;553579
" ";"B RUDARSTVO";2628;2653;2619;2554;2582;2593;2546;2479;2343;2364;2358;2351;2336;2288;2274;2258;2235;2228
" ";"C PREDELOVALNE DEJAVNOSTI";157021;157634;157411;159334;158055;157725;156416;154438;148084;147970;147990;147951;147659;148097;148747;148570;150607;151225
" ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";7264;7280;7295;7349;7313;7331;7349;7341;7148;7230;7292;7267;7174;7312;7304;7268;7096;7152
" ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";8321;8597;8828;8830;8698;8941;8906;8717;8374;8510;8626;8738;8542;8366;8376;8314;8321;8502
" ";"F GRADBENIŠTVO";37227;36866;35948;33315;30770;32136;31295;29151;25080;27477;28608;27469;24874;27060;27778;27009;24853;27951
" ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";62023;62217;62193;62053;61028;60973;60356;59981;57381;55959;55911;55859;55535;55845;55866;55900;64504;65294
" ";"H PROMET IN SKLADIŠÈENJE";31252;31578;31665;31321;31269;31489;31305;31014;29899;31313;31107;30841;30996;31272;31526;31754;31580;31969
